"","CYT","IS","IPS","impres"
"TCGA-EB-A85I",0.100225318523209,0.532435377051585,1.60601710261996,-0.0653469273271279
"TCGA-EB-A85J",0.730706828520534,1.6519162769224,1.60601710261996,1.49208817396943
"TCGA-EB-A97M",-0.393679018009205,0.0443571992532356,1.60601710261996,0.713370623321152
"TCGA-EE-A17X",-0.564517296857702,-1.09061824594451,-1.15543114196506,0.713370623321152
"TCGA-EE-A180",-0.549253684164738,-0.738117339756816,0.685534354424955,-0.844064477975408
"TCGA-EE-A181",0.379659996621423,1.53958082330215,1.60601710261996,1.49208817396943
"TCGA-EE-A182",-0.368792414330777,-0.711001885434685,-0.234948393770055,0.713370623321152
"TCGA-EE-A184",-0.00258515459519763,-0.304270070602728,-0.234948393770055,0.713370623321152
"TCGA-EE-A185",-0.637745049087459,-1.36952006182928,-0.234948393770055,-1.62278202862369
"TCGA-EE-A20C",-0.634466461049868,-1.26105824454076,0.685534354424955,-0.844064477975408
"TCGA-EE-A20F",-0.0964198464362108,0.148945380210025,-0.234948393770055,0.713370623321152
"TCGA-EE-A29B",-0.525557116839153,-0.633529158800027,0.685534354424955,0.713370623321152
"TCGA-EE-A29C",-0.491020100519564,-0.982156428655991,-0.234948393770055,-0.0653469273271279
"TCGA-EE-A29E",-0.625319954174842,-1.28817369886289,0.685534354424955,-0.844064477975408
"TCGA-EE-A29G",-0.406585153512985,-0.432100069549915,0.685534354424955,-0.0653469273271279
"TCGA-EE-A29H",-0.469666830944304,-0.00212643672755961,-0.234948393770055,-0.844064477975408
"TCGA-EE-A29L",-0.635671904042081,-1.2533109718773,-0.234948393770055,-1.62278202862369
"TCGA-EE-A29M",0.378417670874898,0.819084465599821,-0.234948393770055,0.713370623321152
"TCGA-EE-A29N",-0.0177357833367251,0.524688104388119,-0.234948393770055,-0.0653469273271279
"TCGA-EE-A29P",1.82951694280976,1.89208172948984,1.60601710261996,-0.0653469273271279
"TCGA-EE-A29R",-0.600164071916312,-1.10611279127144,0.685534354424955,-1.62278202862369
"TCGA-EE-A29S",-0.287603805381753,-0.12220916301128,0.685534354424955,0.713370623321152
"TCGA-EE-A29V",-0.626185513316968,-1.27655278986769,-1.15543114196506,-0.0653469273271279
"TCGA-EE-A29W",-0.521645551328926,-1.33465733484369,-1.15543114196506,-1.62278202862369
"TCGA-EE-A2A0",-0.0325383367460151,0.900430828566213,-1.15543114196506,-0.844064477975408
"TCGA-EE-A2A2",-0.408115948648465,0.265154470162012,-0.234948393770055,-0.844064477975408
"TCGA-EE-A2A6",0.810735164879572,0.85782082891715,-0.234948393770055,0.713370623321152
"TCGA-EE-A2GH",1.88212486051336,1.02438719118167,-1.15543114196506,0.713370623321152
"TCGA-EE-A2GI",0.36601284233505,0.788095374945958,0.685534354424955,-0.844064477975408
"TCGA-EE-A2GP",-0.46975624346628,-0.517320068848039,-1.15543114196506,-0.844064477975408
"TCGA-EE-A2GR",-0.628975556363873,-1.31141551685329,0.685534354424955,-0.844064477975408
"TCGA-EE-A2GS",-0.43606265995046,0.0249890175945709,0.685534354424955,-0.844064477975408
"TCGA-EE-A2GT",-0.290056488316039,0.981777191532604,-0.234948393770055,0.713370623321152
"TCGA-EE-A2GU",1.37728237302628,1.30328900706644,0.685534354424955,0.713370623321152
"TCGA-EE-A2M5",0.250783645735751,0.0830935625705647,-2.07591389016007,1.49208817396943
"TCGA-EE-A2M6",-0.445339967767095,-0.683886431112555,-2.99639663835508,0.713370623321152
"TCGA-EE-A2M8",3.48324183819954,2.03927991009569,0.685534354424955,-0.0653469273271279
